i   Частота: 0.03687315634218289   IPM: 36873
was   Частота: 0.019174041297935103   IPM: 19174
born   Частота: 0.0014749262536873156   IPM: 1474
in   Частота: 0.025073746312684365   IPM: 25073
the   Частота: 0.058997050147492625   IPM: 58997
year   Частота: 0.0014749262536873156   IPM: 1474
18   Частота: 0.0014749262536873156   IPM: 1474
to   Частота: 0.02064896755162242   IPM: 20648
a   Частота: 0.019174041297935103   IPM: 19174
large   Частота: 0.0014749262536873156   IPM: 1474
fortune   Частота: 0.0014749262536873156   IPM: 1474
endowed   Частота: 0.0014749262536873156   IPM: 1474
besides   Частота: 0.0014749262536873156   IPM: 1474
with   Частота: 0.01032448377581121   IPM: 10324
excellent   Частота: 0.0014749262536873156   IPM: 1474
parts   Частота: 0.0014749262536873156   IPM: 1474
inclined   Частота: 0.0014749262536873156   IPM: 1474
by   Частота: 0.004424778761061947   IPM: 4424
nature   Частота: 0.0058997050147492625   IPM: 5899
industry   Частота: 0.0014749262536873156   IPM: 1474
fond   Частота: 0.0014749262536873156   IPM: 1474
of   Частота: 0.058997050147492625   IPM: 58997
respect   Частота: 0.0014749262536873156   IPM: 1474
wise   Частота: 0.0014749262536873156   IPM: 1474
and   Частота: 0.048672566371681415   IPM: 48672
good   Частота: 0.004424778761061947   IPM: 4424
among   Частота: 0.0029498525073746312   IPM: 2949
my   Частота: 0.025073746312684365   IPM: 25073
fellowmen   Частота: 0.0014749262536873156   IPM: 1474
thus   Частота: 0.0058997050147492625   IPM: 5899
as   Частота: 0.007374631268436578   IPM: 7374
might   Частота: 0.0029498525073746312   IPM: 2949
have   Частота: 0.004424778761061947   IPM: 4424
been   Частота: 0.0029498525073746312   IPM: 2949
supposed   Частота: 0.0014749262536873156   IPM: 1474
every   Частота: 0.0029498525073746312   IPM: 2949
guarantee   Частота: 0.0014749262536873156   IPM: 1474
an   Частота: 0.004424778761061947   IPM: 4424
honourable   Частота: 0.0014749262536873156   IPM: 1474
distinguished   Частота: 0.0014749262536873156   IPM: 1474
future   Частота: 0.0014749262536873156   IPM: 1474
indeed   Частота: 0.0014749262536873156   IPM: 1474
worst   Частота: 0.0014749262536873156   IPM: 1474
faults   Частота: 0.0029498525073746312   IPM: 2949
certain   Частота: 0.0014749262536873156   IPM: 1474
impatient   Частота: 0.0014749262536873156   IPM: 1474
gaiety   Частота: 0.0014749262536873156   IPM: 1474
disposition   Частота: 0.0014749262536873156   IPM: 1474
such   Частота: 0.007374631268436578   IPM: 7374
has   Частота: 0.0014749262536873156   IPM: 1474
made   Частота: 0.0029498525073746312   IPM: 2949
happiness   Частота: 0.0014749262536873156   IPM: 1474
many   Частота: 0.0029498525073746312   IPM: 2949
but   Частота: 0.004424778761061947   IPM: 4424
found   Частота: 0.0029498525073746312   IPM: 2949
it   Частота: 0.01032448377581121   IPM: 10324
hard   Частота: 0.0029498525073746312   IPM: 2949
reconcile   Частота: 0.0014749262536873156   IPM: 1474
imperious   Частота: 0.0014749262536873156   IPM: 1474
desire   Частота: 0.0014749262536873156   IPM: 1474
carry   Частота: 0.0014749262536873156   IPM: 1474
head   Частота: 0.0014749262536873156   IPM: 1474
high   Частота: 0.0029498525073746312   IPM: 2949
wear   Частота: 0.0014749262536873156   IPM: 1474
more   Частота: 0.004424778761061947   IPM: 4424
than   Частота: 0.0058997050147492625   IPM: 5899
commonly   Частота: 0.0014749262536873156   IPM: 1474
grave   Частота: 0.0014749262536873156   IPM: 1474
countenance   Частота: 0.0014749262536873156   IPM: 1474
before   Частота: 0.004424778761061947   IPM: 4424
public   Частота: 0.0014749262536873156   IPM: 1474
hence   Частота: 0.0014749262536873156   IPM: 1474
came   Частота: 0.0014749262536873156   IPM: 1474
about   Частота: 0.0014749262536873156   IPM: 1474
that   Частота: 0.02359882005899705   IPM: 23598
concealed   Частота: 0.0014749262536873156   IPM: 1474
pleasures   Частота: 0.0014749262536873156   IPM: 1474
when   Частота: 0.004424778761061947   IPM: 4424
reached   Частота: 0.0014749262536873156   IPM: 1474
years   Частота: 0.0014749262536873156   IPM: 1474
reflection   Частота: 0.0014749262536873156   IPM: 1474
began   Частота: 0.0014749262536873156   IPM: 1474
look   Частота: 0.0014749262536873156   IPM: 1474
round   Частота: 0.0014749262536873156   IPM: 1474
me   Частота: 0.01032448377581121   IPM: 10324
take   Частота: 0.0014749262536873156   IPM: 1474
stock   Частота: 0.0014749262536873156   IPM: 1474
progress   Частота: 0.0014749262536873156   IPM: 1474
position   Частота: 0.0014749262536873156   IPM: 1474
world   Частота: 0.0014749262536873156   IPM: 1474
stood   Частота: 0.0014749262536873156   IPM: 1474
already   Частота: 0.0014749262536873156   IPM: 1474
committed   Частота: 0.0014749262536873156   IPM: 1474
profound   Частота: 0.0029498525073746312   IPM: 2949
duplicity   Частота: 0.0014749262536873156   IPM: 1474
man   Частота: 0.007374631268436578   IPM: 7374
would   Частота: 0.0029498525073746312   IPM: 2949
even   Частота: 0.0058997050147492625   IPM: 5899
blazoned   Частота: 0.0014749262536873156   IPM: 1474
irregularities   Частота: 0.0014749262536873156   IPM: 1474
guilty   Частота: 0.0014749262536873156   IPM: 1474
from   Частота: 0.007374631268436578   IPM: 7374
views   Частота: 0.0014749262536873156   IPM: 1474
had   Частота: 0.004424778761061947   IPM: 4424
set   Частота: 0.0014749262536873156   IPM: 1474
regarded   Частота: 0.0014749262536873156   IPM: 1474
hid   Частота: 0.0014749262536873156   IPM: 1474
them   Частота: 0.0014749262536873156   IPM: 1474
almost   Частота: 0.0014749262536873156   IPM: 1474
morbid   Частота: 0.0014749262536873156   IPM: 1474
sense   Частота: 0.0029498525073746312   IPM: 2949
